quarter,level_1,level_2,value
1988-Q1,All Types Private Residential Properties Available,Available Landed Properties,14132
1988-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,35802
1988-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,1009
1988-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,3816
1988-Q2,All Types Private Residential Properties Available,Available Landed Properties,14406
1988-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,35914
1988-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,944
1988-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2820
1988-Q3,All Types Private Residential Properties Available,Available Landed Properties,14626
1988-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,36004
1988-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,1012
1988-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2676
1988-Q4,All Types Private Residential Properties Available,Available Landed Properties,14977
1988-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,36333
1988-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,717
1988-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2393
1989-Q1,All Types Private Residential Properties Available,Available Landed Properties,15257
1989-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,36646
1989-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,677
1989-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2366
1989-Q2,All Types Private Residential Properties Available,Available Landed Properties,15465
1989-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,37139
1989-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,858
1989-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2750
1989-Q3,All Types Private Residential Properties Available,Available Landed Properties,15956
1989-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,37529
1989-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,972
1989-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2164
1989-Q4,All Types Private Residential Properties Available,Available Landed Properties,16382
1989-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,38066
1989-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,990
1989-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2042
1990-Q1,All Types Private Residential Properties Available,Available Landed Properties,17002
1990-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,38412
1990-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,1152
1990-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2372
1990-Q2,All Types Private Residential Properties Available,Available Landed Properties,17399
1990-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,38930
1990-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,1194
1990-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2745
1990-Q3,All Types Private Residential Properties Available,Available Landed Properties,17857
1990-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,39324
1990-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,1492
1990-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2741
1990-Q4,All Types Private Residential Properties Available,Available Landed Properties,18226
1990-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,39931
1990-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,1183
1990-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2674
1991-Q1,All Types Private Residential Properties Available,Available Landed Properties,18900
1991-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,40324
1991-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,1550
1991-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,2414
1991-Q2,All Types Private Residential Properties Available,Available Landed Properties,19410
